,ETF,Buy_Date,Sell_Date,Buy_Price,Sell_Price,Quantity,Profit
256,515790.XSHG,2024-01-18,2024-01-22 10:30:00,0.896,0.865,3500,-108.5000000000001
257,159766.XSHE,2024-01-25,2024-01-30 10:30:00,0.724,0.701,4200,-96.60000000000008
258,159611.XSHE,2024-02-06,2024-03-07 11:30:00,0.889,0.957,3400,231.19999999999982
259,159619.XSHE,2024-02-06,2024-02-21 15:00:00,0.84,0.886,3600,165.60000000000014
260,513050.XSHG,2024-03-06,2024-03-21 11:30:00,0.885,0.936,3500,178.50000000000017
261,159766.XSHE,2024-03-11,,0.704,,4500,0
262,159928.XSHE,2024-03-11,2024-04-12 15:00:00,0.852,0.825,3700,-99.90000000000009
263,512010.XSHG,2024-03-11,2024-03-26 10:30:00,0.38,0.367,8300,-107.90000000000009
264,159619.XSHE,2024-03-26,2024-04-16 10:30:00,0.895,0.941,3500,160.99999999999974
265,515030.XSHG,2024-03-26,2024-03-27 15:00:00,1.124,1.085,2800,-109.20000000000041
266,512400.XSHG,2024-03-28,2024-04-01 11:30:00,1.013,1.064,3000,153.00000000000045
267,512980.XSHG,2024-04-01,2024-04-03 10:30:00,0.763,0.729,4200,-142.80000000000013
268,159996.XSHE,2024-04-15,,1.141,,2700,0
269,512800.XSHG,2024-04-15,,1.184,,2600,0
270,159870.XSHE,2024-04-17,,0.603,,5400,0
